can_nam,can_off,can_par_aff,can_inc_cha_ope_sea,can_sta,tot_con,tra_fro_oth_aut_com,Tot_Mon,tot_dis,cas_on_han_beg_of_per,cas_on_han_clo_of_per,net_ope_exp,cov_sta_dat,cov_end_dat,winner,votes
"ACCAVITTI, FRANK MR. JR",H,DEM,OPEN,MI,30490.82,,30490.82,19412.70,,11078.12,19312.70,4/1/2016,10/19/2016,,
"ARRINGTON, JODEY COOK",H,REP,OPEN,TX,1480877.72,,1480877.72,1210670.35,,296840.00,1156766.27,10/1/2015,10/19/2016,Y,
"BABEU, PAUL RAYMOND",H,REP,OPEN,AZ,1169324.81,2663.28,1171988.09,1111969.74,,63334.62,1089624.74,10/5/2015,10/19/2016,,
"BABINEC, MARTIN",H,IND,OPEN,NY,17598.57,,17598.57,2466701.19,,304217.76,2463270.81,1/1/2016,10/19/2016,,
"BAUCUM, RALPH W DR III",H,REP,OPEN,LA,595013.18,,595013.18,583946.97,,111136.77,575946.97,10/1/2015,10/19/2016,,
"BAYH, EVAN",S,DEM,OPEN,IN,2908549.00,677746.00,3586295.00,10505377.00,9983284.00,2950102.00,10485826.00,1/1/2015,10/19/2016,,
"BEEBE, JAMES WESLEY DR",P,IND,OPEN,CA,,,0.00,1803.00,5400.00,,,10/26/2015,10/19/2016,,
"BERRY, JOEY",P,IND,OPEN,SC,,,0.00,,,,,7/1/2015,10/19/2016,,
"BICKELMEYER, MICHAEL",P,REP,OPEN,OH,3408.00,,3408.00,3427.00,21.00,5.00,,1/1/2015,10/19/2016,,
"BILLIOT, BERYL",S,IND,OPEN,LA,7300.00,,7300.00,6676.00,,623.00,6676.00,7/1/2016,10/19/2016,,
"BOLLING, DAN",H,DEM,OPEN,MD,8305.00,,8305.00,37078.76,,865.91,27194.76,1/1/2016,10/19/2016,,
"BONGINO, DANIEL J",H,REP,OPEN,FL,431990.75,,431990.75,426405.08,,6184.67,409606.08,4/1/2016,10/19/2016,,
"BOSTOW, DIANE EVELYN",H,LIB,OPEN,MI,6389.24,,6389.24,5120.65,400.00,1668.59,5120.65,5/1/2016,10/19/2016,,
"BOUSTANY, CHARLES W JR DR",S,REP,OPEN,LA,5185791.78,,5185791.78,5163037.69,366517.88,396148.00,5102979.63,1/1/2015,10/19/2016,,
"BROWN, SHAUN DENISE",H,DEM,OPEN,VA,26778.36,,26778.36,29187.47,,250.00,19266.20,3/1/2016,10/19/2016,,
"BRUDERLY, DAVID EDWARD",H,DEM,OPEN,FL,34318.45,,34318.45,35074.30,,11309.94,35074.30,6/24/2016,10/19/2016,,
"CASTLE, DARRELL LANE",P,CON,OPEN,TN,49734.06,,49734.06,52721.96,,1914.85,111400.41,4/1/2016,10/19/2016,,
"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",P,DEM,OPEN,NY,361329562.20,141290000.00,502619562.20,450565633.50,,62440979.49,2466802358.00,4/1/2015,10/19/2016,,
"COSTELLO, REGIS J",P,IND,OPEN,WA,,,0.00,8106.13,7437.13,7168.13,46927.78,2/1/2015,10/19/2016,,
"COX, DAN",H,REP,OPEN,MD,45842.00,,45842.00,44840.07,,19059.93,41467.07,1/1/2016,10/19/2016,,
"CRAWFORD, DONALD L JR",S,REP,OPEN,LA,925.00,,925.00,7726.00,,5698.00,7726.00,7/1/2016,10/19/2016,,
"CUBBLER, SCOTT RALSTON",P,NNE,OPEN,TX,1072.05,,1072.05,,30.00,1102.05,,10/1/2016,10/19/2016,,
"DARTLAND, WALTER",H,DEM,OPEN,FL,74825.00,,74825.00,66239.16,,59158.85,65666.15,4/1/2016,10/19/2016,,
"DE  LA  FUENTE, ROQUE ROCKY",P,DEM,OPEN,CA,17033.13,,17033.13,7627848.16,,7160.31,33899000.29,10/1/2015,10/19/2016,,
"DICIANNI, PETER",H,REP,OPEN,IL,296573.56,,296573.56,210506.15,,86067.41,155232.15,10/1/2015,10/19/2016,,
"DITTMAR, JANE DESIMONE",H,DEM,OPEN,VA,1156018.34,,1156018.34,1072868.50,,83613.63,1067752.34,9/3/2015,10/19/2016,,
"DOMINO, CARL J",H,REP,OPEN,FL,56228.32,,56228.32,579187.94,2406.59,10744.46,576643.44,1/1/2015,10/19/2016,,
"DUKE, DAVID E DR",S,REP,OPEN,LA,118021.00,,118021.00,89887.00,,50444.00,87322.00,7/1/2016,10/19/2016,,
"EDWARDS, DERRICK",S,DEM,OPEN,LA,9373.00,,9373.00,19549.00,,12112.00,19549.00,2/1/2016,10/19/2016,,
"ELLISON, GREGORY W LT COL",H,REP,OPEN,LA,477632.75,,477632.75,427147.36,,105485.39,418198.48,12/31/2015,10/19/2016,,
"ERVIN, VALERIE",H,DEM,OPEN,MD,29751.00,,29751.00,29463.62,,-2938.88,28213.62,7/1/2015,10/19/2016,,
"FAREED, JUSTIN",H,REP,OPEN,CA,2130889.24,,2130889.24,1822868.88,,316812.74,1788877.53,1/1/2015,10/19/2016,,
"FAYARD, CATHRYN CAROLINE",S,DEM,OPEN,LA,693633.00,,693633.00,1517882.00,,67378.00,1508198.00,1/1/2016,10/19/2016,,
"FERRER RIOS, HECTOR",H,DEM,OPEN,PR,230245.08,,230245.08,193786.25,,16028.83,188786.25,1/1/2016,10/19/2016,,
"FLEMING, JOHN C JR",S,REP,OPEN,LA,1779304.00,1656490.00,3435794.00,3781237.00,,533534.00,3755473.00,12/1/2015,10/19/2016,,
"FLOWERS, MARGARET",S,GRE,OPEN,,67573.00,,67573.00,68452.00,,-880.00,68452.00,7/1/2015,10/19/2016,,
"GASKINS, SAMUEL LEWIS",H,DEM,OPEN,KY,13658.02,,13658.02,13645.76,260.00,117.16,11734.33,1/1/2015,10/19/2016,,
"GEORGE, JEFF",P,NPA,OPEN,FL,7600.00,,7600.00,18751.21,,-11151.21,25198.32,1/1/2016,10/19/2016,,
"GEYMANN, BRETT F",H,REP,OPEN,LA,134085.00,,134085.00,132597.46,,1487.54,131097.46,1/1/2016,10/19/2016,,
"GILMORE, JAMES S III",P,REP,OPEN,VA,110570.95,,110570.95,390868.39,,568.05,1579048.87,7/1/2015,10/19/2016,,
"GONZALEZ COLON, JENNIFFER",H,NPP,OPEN,PR,728236.33,,728236.33,608649.95,,119777.62,607458.71,7/1/2015,10/19/2016,,
"GREENE, RYAN",H,DEM,OPEN,WY,116024.00,,116024.00,159025.16,,19034.19,158025.16,1/1/2016,10/19/2016,,
"GUILLORY, ELBERT",H,REP,OPEN,LA,824568.93,,824568.93,590272.92,,234296.01,589272.92,1/20/2016,10/19/2016,,
"GUMINA, TONY DR",S,OTH,OPEN,NV,31407.00,,31407.00,28047.00,,2930.00,28474.00,1/1/2016,10/19/2016,,
"GURFEIN, DAVID MR.",H,REP,OPEN,NY,441653.28,,441653.28,325845.50,,115807.78,315001.98,7/1/2015,10/19/2016,,
"HALL, ISADORE III",H,DEM,OPEN,CA,1728599.76,,1728599.76,1675839.01,67108.63,121458.55,1653134.19,1/1/2015,10/19/2016,,
"HART, JAMES",H,IND,OPEN,TN,,,0.00,271.95,1107.34,1336.48,271.95,1/1/2015,10/19/2016,,
"HARTMAN, CHRISTINA MARIE MS.",H,DEM,OPEN,PA,820443.51,,820443.51,814486.75,,67784.43,757786.75,7/1/2015,10/19/2016,,
"HAZZARD, SHANNONN MONROE",P,REP,OPEN,VA,635.00,,635.00,635.00,,,,2/1/2014,10/19/2016,,
"HECK, JOE",S,REP,OPEN,NV,8916190.00,2245511.00,11161701.00,8538923.00,,2639193.00,8444442.00,7/1/2015,10/19/2016,,
"JENKINS, OLIVER LTCOL",H,REP,OPEN,LA,413839.60,,413839.60,483903.69,,329935.91,483653.69,1/1/2016,10/19/2016,,
"JOHN, RICHARD MICHAEL MR.",H,REP,OPEN,LA,117643.16,,117643.16,118198.03,,32745.26,108198.03,1/1/2016,10/19/2016,,
"JOHNSON, GARY / WILLIAM BILL"" WELD""",P,LIB,OPEN,UT,10763296.11,490658.60,11253954.71,10340004.16,635.27,1101716.14,41603083.83,1/1/2015,10/19/2016,,
"JONES JR, J MARSHALL",H,DEM,OPEN,LA,55482.00,,55482.00,281049.92,,582.08,257799.92,7/1/2016,10/19/2016,,
"KOLLER, DAVID C",H,DEM,OPEN,FL,49745.28,,49745.28,50252.33,7497.76,6990.71,50252.33,1/1/2015,10/19/2016,,
"LA RIVA, GLORIA ESTELA",P,PFD,OPEN,CA,30269.00,,30269.00,29894.00,,373.00,,10/24/2015,10/19/2016,,
"LEWIS JR, JULIAN BISHOP",P,IND,OPEN,TX,,,0.00,,,,,1/1/2015,10/19/2016,,
"LIEBNITZKY, WAYNE",H,REP,OPEN,FL,16407.00,,16407.00,26957.55,,3798.84,26917.95,7/1/2015,10/19/2016,,
"LUCIUS, CASEY",H,REP,OPEN,CA,395623.35,,395623.35,374988.74,,20680.36,374832.23,4/1/2015,10/19/2016,,
"MANESS, ROBERT L COL. RET",S,REP,OPEN,LA,698230.00,,698230.00,622655.00,21173.00,161911.00,591039.02,1/1/2015,10/19/2016,,
"MARSALA, CHARLES",S,REP,OPEN,LA,3915.00,,3915.00,12835.00,,1678.00,10835.00,7/1/2016,10/19/2016,,
"MARTINS, JACK",H,REP,OPEN,NY,1008733.05,10075.00,1018808.05,769632.18,,253935.46,758725.65,1/1/2016,10/19/2016,,
"MCMULLIN, EVAN / MINDY FINN",P,IND,OPEN,FL,1032757.87,,1032757.87,785858.18,,249610.86,1552712.59,8/1/2016,10/19/2016,,
"MOOREHEAD, MONICA GAIL",P,UNK,OPEN,NJ,7182.00,,7182.00,10943.00,,737.00,,4/1/2016,10/19/2016,,
"MORRISSEY, JOHN FRENCH MR.",P,REP,OPEN,MA,,,0.00,,,,,12/14/2015,10/19/2016,,
"MYERS, KIM",H,DEM,OPEN,NY,940550.45,,940550.45,1246999.66,,238202.70,1235222.75,3/3/2016,10/19/2016,,
"MYHRA, PAMELA J",H,REP,OPEN,MN,51650.38,,51650.38,52574.01,,103.37,52147.01,10/1/2015,10/19/2016,,
"NAVARRO, OMAR",H,REP,OPEN,CA,2546.00,,2546.00,2667.52,352.56,231.04,2667.52,1/1/2016,10/19/2016,,
"NEELD J, ROBERT M",H,DEM,OPEN,FL,2630.00,,2630.00,13192.06,,1937.94,13192.06,4/1/2016,10/19/2016,,
"NELSON, TOM",H,DEM,OPEN,WI,1426501.14,,1426501.14,1329206.27,,166584.22,1253136.36,4/1/2016,10/19/2016,,
"NGUYEN, BAO QUOC",H,DEM,OPEN,CA,270569.90,,270569.90,237157.67,,37648.14,224755.12,7/1/2015,10/19/2016,,
"NOGALES-MOLINELLI, MARIANA",H,PPT,OPEN,PR,2154.17,,2154.17,1626.15,,445.78,1626.15,1/1/2016,10/19/2016,,
"OVERBY, PAULA MIRARE",H,IDP,OPEN,MN,2416.00,,2416.00,2247.28,332.85,832.81,2247.28,1/1/2015,10/19/2016,,
"PATEL, ABHAY",S,REP,OPEN,LA,245266.00,,245266.00,396815.00,,7182.00,371390.00,4/1/2016,10/19/2016,,
"PERKINS, RANDY",H,DEM,OPEN,FL,2788957.63,,2788957.63,8327167.32,,233440.57,8269787.06,10/1/2015,10/19/2016,,
"PHILLIPS, GEORGE KARL MR",H,REP,OPEN,NY,245583.29,4950.00,250533.29,250763.90,,-73.00,214579.90,12/1/2015,10/19/2016,,
"PLATTER, JIM MR.",P,PBP,OPEN,MN,,,0.00,,,,,7/1/2016,10/19/2016,,
"PUSKAR, MICHAEL BRANDON",P,UN,OPEN,MD,1000.00,,1000.00,883.10,,116.90,883.10,7/1/2016,10/19/2016,,
"RANTZ, AUGUST J IV",H,REP,OPEN,LA,384540.98,,384540.98,630210.80,,7335.18,621810.80,1/1/2016,10/19/2016,,
"REES, GROVER JOSEPH",H,REP,OPEN,LA,77425.00,,77425.00,109360.33,,42924.67,57864.65,1/1/2016,10/19/2016,,
"REIGLE, HANS",H,REP,OPEN,DE,200724.32,,200724.32,168914.05,,40262.45,168914.05,1/1/2015,10/19/2016,,
"ROY, JOHN CHARLES",P,UN,OPEN,PA,9140.94,,9140.94,9241.75,49.64,19.66,42588.66,1/1/2015,10/19/2016,,
"SANCHEZ, LORETTA",S,DEM,OPEN,CA,3177007.00,991114.00,4168121.00,3556101.00,,921194.00,3191876.00,4/1/2015,10/19/2016,,
"SANDERS, BERNARD",P,DEM,OPEN,VT,231837226.40,1500000.00,233337226.40,232031346.90,,4773181.64,1954397343.00,4/1/2015,10/19/2016,,
"SANTARSIERO, STEVEN J",H,DEM,OPEN,PA,2422209.88,,2422209.88,2321465.06,,146664.33,2268293.52,1/1/2015,10/19/2016,,
"SCROGGIE, JEREMY",P,IND,OPEN,TN,694.00,,694.00,6683.33,-1845.33,415.00,5587.66,7/1/2015,10/19/2016,,
"SHUDOFSKY, ARYEH",H,REP,OPEN,MD,40977.35,,40977.35,40925.88,,51.47,40925.88,7/15/2015,10/19/2016,,
"SPAIN, PAUL DOUGLAS MR.",H,REP,OPEN,FL,4375.68,,4375.68,21110.96,70.42,28281.21,20810.96,1/1/2015,10/19/2016,,
"SPALDING, CARLA ARLENE",H,IND,OPEN,FL,16907.16,,16907.16,26341.64,,201.89,22701.64,7/1/2015,10/19/2016,,
"SPECHT, STEVEN K.",H,DEM,OPEN,FL,45880.14,,45880.14,45967.27,,9699.00,45867.27,4/1/2016,10/19/2016,,
"STEIN, JILL",P,GRE,OPEN,MA,3015906.23,,3015906.23,3470291.04,,58303.11,13450374.82,1/1/2015,10/19/2016,,
"SZELIGA, KATHY",S,REP,OPEN,MD,1477206.00,,1477206.00,1226215.00,,252998.00,1208158.00,10/1/2015,10/19/2016,,
"TARKANIAN, DANNY",H,REP,OPEN,NV,1638875.89,3915.00,1642790.89,1482252.76,,259237.11,1446605.89,7/1/2015,10/19/2016,,
"TEACHOUT, ZEPHYR",H,DEM,OPEN,NY,3893295.22,,3893295.22,2422345.91,,1471949.31,2392048.90,1/1/2016,10/19/2016,,
"WALKINSHAW, BRADY PINERO",H,DEM,OPEN,WA,1637060.75,,1637060.75,1503236.34,,135153.08,1495137.67,10/1/2015,10/19/2016,,
"WALLACE, NANCY",H,GRE,OPEN,MD,9612.11,,9612.11,8317.96,,3617.24,6895.96,1/1/2016,10/19/2016,,
"WILLIAMS, CLYDE EDWARD JR",H,DEM,OPEN,NY,527951.27,,527951.27,527951.27,,,471351.27,4/1/2015,10/19/2016,,
"WILLIAMS, JARROD M.",S,IND,OPEN,NV,2277.00,,2277.00,2261.00,,16.00,2261.00,4/1/2016,10/19/2016,,
"YODER, SHELLI",H,DEM,OPEN,IN,1212815.11,,1212815.11,1141246.85,,71568.26,1137371.85,8/17/2015,10/19/2016,,
"BORDERS, JASON D",H,DEM,OPEN,FL,646.91,,646.91,646.91,,,646.91,1/1/2015,10/17/2016,,
"BYDLAK, REBEKAH JOHANSEN MRS.",H,REP,OPEN,FL,236056.87,,236056.87,240131.18,,,215156.87,4/12/2016,10/17/2016,,
"CANNON, NELSON JEROME",H,DEM,OPEN,MI,76262.67,,76262.67,80684.46,,-986.19,77216.46,7/1/2015,10/15/2016,,
"MALNES, BRIAN EDWARD",H,IND,OPEN,AZ,30000.00,,30000.00,25000.00,,5000.00,25000.00,1/25/2016,10/15/2016,,
"STAPLEY, DONALD T",H,REP,OPEN,AZ,262692.00,,262692.00,512692.28,,,501948.70,4/1/2016,10/15/2016,,
"TANZLER, HANS MR. III",H,REP,OPEN,FL,430384.68,,430384.68,834250.36,,,813784.68,4/1/2016,10/15/2016,,
"LEE, MONROE",P,REP,OPEN,FL,,,0.00,26.00,,,,4/15/2015,10/12/2016,,
"KREML, WILLIAM P",P,GRE,OPEN,SC,7294.96,,7294.96,7294.96,,,6166.54,10/1/2015,10/6/2016,,
"ADAMS, BOYCE",H,REP,OPEN,MS,141231.00,,141231.00,510200.03,,16565.38,508199.62,1/1/2015,9/30/2016,,
"ALLEN, JASON EDWARD",H,REP,OPEN,MI,372360.27,,372360.27,429426.44,,248.17,419896.44,1/1/2016,9/30/2016,,
"ANDREWS, CHARLES PERRY III",P,REP,OPEN,KS,6.00,,6.00,1000.00,1000.00,,,1/1/2015,9/30/2016,,
"ANGLE, SHARRON E",S,REP,OPEN,NV,215572.00,,215572.00,208825.00,,6745.00,208825.00,1/1/2016,9/30/2016,,
"BARNEY, SEAN",H,DEM,OPEN,DE,767226.65,,767226.65,771391.89,,1091.68,738637.31,10/1/2015,9/30/2016,,
"BASIAGO, ANDREW DANIEL",P,IND,OPEN,VA,17034.27,,17034.27,19334.11,,-2715.35,9479.00,3/1/2014,9/30/2016,,
"BENNETT, KEN",H,REP,OPEN,AZ,393873.10,,393873.10,459969.64,,3903.80,430989.02,1/12/2015,9/30/2016,,
"BISHOP, BOB",H,REP,OPEN,NY,36190.00,,36190.00,36240.00,,,35690.00,10/1/2015,9/30/2016,,
"BUSH, JEB",P,REP,OPEN,FL,34365074.58,,34365074.58,35432192.02,,57666.91,207828271.20,4/1/2015,9/30/2016,,
"CAGE, ERICKE",H,DEM,OPEN,VA,29391.25,,29391.25,14397.01,,14994.24,14387.41,4/1/2015,9/30/2016,,
"CARDWELL, CHARLES PATTESON IV",H,REP,OPEN,VA,40469.00,,40469.00,87291.88,,677.12,87191.88,1/1/2016,9/30/2016,,
"CARROLL, JERRY LEON",S,OTH,OPEN,CA,,,0.00,150.00,10.00,10.00,,12/31/2014,9/30/2016,,
"CARROLL, JERRY LEON",P,NNE,OPEN,CA,,,0.00,140.00,2.00,2.00,,12/31/2014,9/30/2016,,
"CARTER, WILLIE FELIX",P,DEM,OPEN,TX,13325.00,,13325.00,13415.00,97.00,97.00,,1/1/2015,9/30/2016,,
"CASPERSON, TOM",H,REP,OPEN,MI,467505.40,,467505.40,520343.87,366.60,698.79,499546.12,1/1/2015,9/30/2016,,
"CHANE, JONATHAN",H,DEM,OPEN,FL,585689.53,,585689.53,714117.48,,4572.05,651616.14,7/1/2015,9/30/2016,,
"CHAVEZ, ROCKY",S,REP,OPEN,CA,116915.00,,116915.00,119761.00,,,119761.00,1/1/2015,9/30/2016,,
"CHRISTIE, CHRISTOPHER J",P,REP,OPEN,NJ,8548966.85,,8548966.85,8714737.15,,30849.61,57073168.43,7/1/2015,9/30/2016,,
"CLEMENTS, THOMAS PATRICK",S,REP,OPEN,LA,,,0.00,-1458.00,,12783.80,1980.00,1/1/2015,9/30/2016,,
"CONLON, GREG",S,REP,OPEN,CA,30905.00,,30905.00,51621.00,,89.00,51621.00,1/1/2016,9/30/2016,,
"COOK, SUZAN JOHNSON",H,DEM,OPEN,NY,256308.48,,256308.48,315943.05,,,308162.99,5/1/2015,9/30/2016,,
"COOK, TAMARKUS",H,DEM,OPEN,GA,16640.97,,16640.97,4343.94,3000.00,3277.03,4343.94,1/1/2016,9/30/2016,,
"CRABTREE, VALLERI",H,DEM,OPEN,FL,25734.61,,25734.61,66141.32,230.76,199.05,66041.32,1/1/2015,9/30/2016,,
"CRANE, MICHAEL ROBERT",H,REP,OPEN,GA,527514.04,,527514.04,513733.94,,14480.10,489931.94,1/1/2015,9/30/2016,,
"CRUZ, RAFAEL EDWARD TED""""",P,REP,OPEN,TX,92137218.65,250012.93,92387231.58,93373187.27,,96665.59,724308424.20,1/1/2015,9/30/2016,,
"CULLERTON, TOM",H,DEM,OPEN,IL,139931.07,,139931.07,143185.69,,-3252.98,118178.57,4/1/2015,9/30/2016,,
"DEL BECCARO, THOMAS",S,REP,OPEN,CA,449911.00,,449911.00,519960.00,,3838.00,488820.00,1/1/2015,9/30/2016,,
"DEL ROSSO, MICHAEL JOSEPH MR.",H,REP,OPEN,VA,97637.92,,97637.92,97326.89,,311.03,94526.89,1/1/2016,9/30/2016,,
"DICKERSON, JOHN MARTIN",S,DEM,OPEN,IN,72798.00,,72798.00,72885.00,,29.00,72769.00,8/12/2015,9/30/2016,,
"DOSEV, CRIS",H,REP,OPEN,FL,87698.03,,87698.03,467007.68,,15699.25,456698.78,4/1/2016,9/30/2016,,
"DOYLE, COLIN B",P,IND,OPEN,OR,875.00,,875.00,6062.25,,,6062.25,10/1/2015,9/30/2016,,
"DUNN, JOSEPH",H,DEM,OPEN,CA,427400.99,,427400.99,427372.64,,111.04,390112.64,8/8/2015,9/30/2016,,
"EDWARDS, DONNA FERN",S,DEM,OPEN,MD,3792502.00,9000.00,3801502.00,3821433.00,,2233.00,3474473.00,3/10/2015,9/30/2016,,
"EDWARDS, LA RESA",P,OTH,OPEN,GA,,,0.00,,4300.00,4300.00,,10/1/2015,9/30/2016,,
"ELLIOTT, CLAIRE ELISABETH",P,IND,OPEN,GA,,,0.00,,,,,1/1/2015,9/30/2016,,
"ERICKSON, MATTHEW D",H,REP,OPEN,MN,63319.60,,63319.60,64841.11,,14.88,64841.11,4/1/2016,9/30/2016,,
"EVERS, GREG",H,REP,OPEN,FL,234714.05,,234714.05,232002.65,,2711.40,205102.65,4/1/2016,9/30/2016,,
"FENSTERMAKER, SCOTT LLOYD MR.",H,N/A,OPEN,NY,4180.00,,4180.00,14082.50,3712.09,6515.77,14082.50,4/1/2016,9/30/2016,,
"FIORE, MICHELE",H,REP,OPEN,NV,443917.08,,443917.08,436795.96,,7121.12,420995.96,10/1/2015,9/30/2016,,
"FLANEGAN, CHARLES EDWARD JR",H,REP,OPEN,GA,750.00,,750.00,110505.51,199.76,43444.25,55005.51,1/1/2015,9/30/2016,,
"FLINN, GEORGE S DR JR",H,REP,OPEN,TN,1748.00,230811.25,232559.25,3015955.42,,11603.83,3015905.42,2/2/2016,9/30/2016,,
"FLYNN, MICHAEL",H,REP,OPEN,IL,173899.35,,173899.35,173592.97,,306.38,173592.97,4/1/2015,9/30/2016,,
"FORLINI, ANTHONY G.",H,REP,OPEN,MI,84673.97,,84673.97,119694.10,,948.11,111294.10,1/1/2016,9/30/2016,,
"FRASER, WILLIAM E",H,IND,OPEN,IL,1314.00,,1314.00,1651.90,,177.66,1651.90,7/22/2015,9/30/2016,,
"FRAZIER, BRIAN WAYNE",H,REP,OPEN,FL,27815.34,,27815.34,28160.87,,-345.53,28160.87,4/1/2015,9/30/2016,,
"FUENTES, TALIA",H,DEM,OPEN,AZ,11614.71,,11614.71,10346.70,,1268.01,10346.70,4/22/2016,9/30/2016,,
"GALLAGHER, MICHAEL",H,DEM,OPEN,NY,53764.09,,53764.09,87837.33,,6938.95,63828.31,3/13/2015,9/30/2016,,
"GARRETT, GREGORY KEITH",H,REP,OPEN,TX,57940.00,,57940.00,108161.18,,,65987.33,10/16/2015,9/30/2016,,
"GLASGOW, NATHANIEL",P,REP,OPEN,NC,,,0.00,,,,,12/8/2015,9/30/2016,,
"GOMEZ, NELSON",P,DEM,OPEN,NY,,,0.00,,,,,9/1/2016,9/30/2016,,
"GOSS, CHAUNCEY P",H,REP,OPEN,FL,353253.79,,353253.79,392853.79,,,386429.01,4/1/2016,9/30/2016,,
"GOWAN , DAVID MATTHEW SR",H,REP,OPEN,AZ,406358.03,,406358.03,356815.97,,49542.06,356815.97,10/1/2015,9/30/2016,,
"GREER, JOHN BRADLEY MR",H,REP,OPEN,TN,143732.86,,143732.86,143917.68,,5072.23,124160.63,1/1/2016,9/30/2016,,
"HALL, DAVID EAMES",P,REP,OPEN,FL,100.00,,100.00,29.50,100.00,169.00,4.59,10/1/2015,9/30/2016,,
"HARDY, CHARLIE",H,DEM,OPEN,WY,14745.68,,14745.68,14829.03,,-51.56,14829.03,4/1/2016,9/30/2016,,
"HEANEY, ANDREW",H,REP,OPEN,NY,1483679.24,,1483679.24,1959725.92,,329.61,1774030.48,7/1/2015,9/30/2016,,
"HILL, BARON P",S,DEM,OPEN,IN,1382590.00,,1382590.00,1036886.00,,349314.00,977740.00,4/1/2015,9/30/2016,,
"HOUCHIN, ERIN",H,REP,OPEN,IN,524178.05,,524178.05,524323.97,,,501714.02,7/1/2015,9/30/2016,,
"HOWE, JOHN STERLING",H,REP,OPEN,MN,108539.09,,108539.09,833733.95,,17655.14,113383.95,7/1/2015,9/30/2016,,
"HUCKABEE, MIKE",P,REP,OPEN,AR,4327403.99,,4327403.99,4328550.97,,7352.63,45546183.22,4/1/2015,9/30/2016,,
"ISAKSON, STEVE WESLEY PHD",H,NNE,OPEN,CA,,,0.00,14327.97,,38243.94,6788.07,1/1/2016,9/30/2016,,
"IVEY, GLENN FREDERICK",H,DEM,OPEN,MD,1065060.06,,1065060.06,1068210.74,4712.10,1848.90,1011283.86,1/1/2015,9/30/2016,,
"IWACHIW, WALTER N",P,REP,OPEN,NY,,,0.00,1352.00,,630.00,,12/14/2015,9/30/2016,,
"IZZO, ROSE",H,REP,OPEN,DE,24255.00,,24255.00,24344.82,16.98,20.16,24030.00,1/1/2015,9/30/2016,,
"JAWANDO, WILL MR.",H,DEM,OPEN,MD,532080.74,,532080.74,534871.43,,538.99,505301.75,4/1/2015,9/30/2016,,
"JONES, CHRISTINE",H,REP,OPEN,AZ,73415.94,,73415.94,1950060.29,,29209.39,1944660.29,1/1/2016,9/30/2016,,
"KAIMAN, JON",H,DEM,OPEN,NY,440328.45,,440328.45,440164.98,,163.47,440164.98,1/1/2016,9/30/2016,,
"KAPLAN, ANNA",H,DEM,OPEN,NY,471743.00,,471743.00,826085.88,,,748774.21,1/1/2016,9/30/2016,,
"KASICH, JOHN R",P,REP,OPEN,OH,19329486.89,,19329486.89,19426074.85,,179886.17,113462487.00,7/1/2015,9/30/2016,,
"KAUFMAN, STEVE",H,REP,OPEN,FL,27833.00,,27833.00,32239.37,,1289.63,29643.37,6/6/2016,9/30/2016,,
"KELLER, CRAIG",H,REP,OPEN,WA,1811.00,,1811.00,1996.00,526.00,341.00,1800.00,1/1/2015,9/30/2016,,
"KELSEY, BRIAN",H,REP,OPEN,TN,835827.16,,835827.16,847178.61,,1448.55,765278.61,2/1/2016,9/30/2016,,
"KIEHNE, GARY",H,REP,OPEN,AZ,367911.09,,367911.09,1124669.16,5188.33,690.37,770412.16,1/1/2015,9/30/2016,,
"KNEZEK, ERICK",H,REP,OPEN,LA,130465.16,,130465.16,570449.42,,11965.74,167549.42,12/31/2015,9/30/2016,,
"KOKKONEN, MATT",H,REP,OPEN,CA,9101.00,,9101.00,75774.62,,144569.36,75031.64,1/1/2016,9/30/2016,,
"KONSMO, MICHAEL MR.",H,REP,OPEN,WY,16115.00,,16115.00,16269.61,,-154.61,16269.61,12/16/2015,9/30/2016,,
"KOZELL, RICK",H,REP,OPEN,FL,654789.46,,654789.46,649482.27,,7293.67,571563.95,4/1/2015,9/30/2016,,
"LASEE, FRANK",H,REP,OPEN,WI,323088.17,1000.00,324088.17,185820.20,100.00,138367.97,185720.20,1/1/2016,9/30/2016,,
"LAUREL-SMITH, ABBEY",P,IND,OPEN,NY,,,0.00,33980.00,,-33980.00,33980.00,7/1/2016,9/30/2016,,
"LEATHERWOOD, THOMAS F III",H,REP,OPEN,TN,53156.68,,53156.68,52710.45,476.77,964.95,52610.45,1/1/2015,9/30/2016,,
"LIBRACE, DAVID",P,IND,OPEN,AR,,,0.00,,,,,6/1/2015,9/30/2016,,
"LLOYD, JUNE LA'GAY",P,IND,OPEN,WA,,,0.00,,,,,1/1/2015,9/30/2016,,
"LOPEZ, PETER D",H,REP,OPEN,NY,53195.00,,53195.00,36052.55,,17142.45,17352.55,10/1/2015,9/30/2016,,
"LUTTRELL, MARK H JR",H,REP,OPEN,TN,365228.67,,365228.67,359181.23,,6575.59,346838.08,1/1/2016,9/30/2016,,
"LUTZ, RANDALL ROY",P,IND,OPEN,FL,,,0.00,,,40.00,,4/27/2015,9/30/2016,,
"MAHENDRA, SUJEET BOBBY NARENDRA",S,DEM,OPEN,NV,,,0.00,17656.00,,7342.00,17656.00,11/12/2015,9/30/2016,,
"MALDONADO, JOSEPH A",P,IND,OPEN,OK,945.00,,945.00,4926.00,,27.00,,1/1/2016,9/30/2016,,
