can_nam,can_off,can_par_aff,can_inc_cha_ope_sea,can_sta,tot_con,tra_fro_oth_aut_com,tot_dis,cas_on_han_beg_of_per,cas_on_han_clo_of_per,net_ope_exp,cov_sta_dat,cov_end_dat,winner,votes
"JEFFRIES, HAKEEM",H,DEM,INCUMBENT,NY,"$1,240,413.06 ","$6,937.42 ","$703,436.54 ","$508,364.19 ","$1,053,270.73 ","$489,291.63 ",1/1/2015,10/19/2016,Y,
"JOLLY, DAVID W.",H,REP,INCUMBENT,FL,"$1,851,509.95 ","$30,950.00 ","$1,970,657.96 ","$246,339.09 ","$158,630.58 ","$1,915,655.96 ",1/1/2015,10/19/2016,,
"KELLY, GEORGE J JR",H,REP,INCUMBENT,PA,"$1,649,824.23 ","$33,136.85 ","$1,107,796.07 ","$138,390.87 ","$733,459.92 ","$870,879.28 ",1/1/2015,10/19/2016,Y,
"KIND, RONALD JAMES",H,DEM,INCUMBENT,WI,"$2,020,102.03 ",,"$1,085,195.57 ","$1,464,243.19 ","$2,416,539.72 ","$1,033,427.99 ",1/1/2015,10/19/2016,Y,
"KINZINGER, ADAM",H,REP,INCUMBENT,IL,"$1,732,570.85 ","$13,644.84 ","$925,953.20 ","$666,639.60 ","$1,489,092.91 ","$774,823.20 ",1/1/2015,10/19/2016,Y,
"KIRK, MARK STEVEN",S,REP,INCUMBENT,IL,"$7,485,020.00 ","$772,876.00 ","$9,703,315.00 ","$2,005,145.00 ","$576,279.00 ","$9,513,751.00 ",1/1/2015,10/19/2016,,
"LIPINSKI, DANIEL WILLIAM WILLIAM",H,DEM,INCUMBENT,IL,"$809,719.50 ",,"$566,082.16 ","$1,047,669.95 ","$1,297,321.53 ","$488,426.96 ",1/1/2015,10/19/2016,Y,
"LOWEY, NITA M",H,DEM,INCUMBENT,NY,"$1,671,161.86 ",,"$1,166,000.51 ","$219,372.22 ","$725,535.11 ","$713,186.44 ",1/1/2015,10/19/2016,Y,
"MCGOVERN, JAMES P",H,DEM,INCUMBENT,MA,"$879,215.25 ",,"$803,229.88 ","$373,647.36 ","$455,122.53 ","$542,265.75 ",1/1/2015,10/19/2016,Y,
"MICA, JOHN L. MR.",H,REP,INCUMBENT,FL,"$1,249,501.52 ",,"$1,356,243.22 ","$270,807.85 ","$167,033.87 ","$1,340,584.73 ",1/1/2015,10/19/2016,,
"MOORE, GWEN S",H,DEM,INCUMBENT,WI,"$937,685.71 ",,"$898,482.62 ","$13,673.49 ","$58,557.82 ","$768,385.44 ",1/1/2015,10/19/2016,Y,
"MOULTON, SETH",H,DEM,INCUMBENT,MA,"$2,474,456.67 ","$28,448.71 ","$1,360,443.58 ","$37,298.93 ","$1,184,250.70 ","$1,124,402.23 ",1/1/2015,10/19/2016,Y,
"MURPHY, TIMOTHY",H,REP,INCUMBENT,PA,"$1,414,694.57 ",,"$998,500.34 ","$818,920.89 ","$1,238,794.57 ","$866,211.66 ",1/1/2015,10/19/2016,Y,
"NEAL, RICHARD E MR.",H,DEM,INCUMBENT,MA,"$1,636,502.96 ",,"$1,287,554.34 ","$2,634,607.48 ","$3,007,915.45 ","$772,184.34 ",1/1/2015,10/19/2016,Y,
"NORTON, ELEANOR HOLMES",H,DEM,INCUMBENT,DC,"$328,210.00 ",,"$407,697.76 ","$220,676.13 ","$141,558.37 ","$256,077.76 ",1/1/2015,10/19/2016,Y,
"O'ROURKE, ROBERT BETO",H,DEM,INCUMBENT,TX,"$375,546.78 ",,"$287,490.70 ","$161,828.61 ","$249,926.03 ","$190,181.57 ",1/1/2015,10/19/2016,Y,
"PELOSI, NANCY",H,DEM,INCUMBENT,CA,"$3,391,097.94 ","$272,900.00 ","$3,189,223.83 ","$981,159.93 ","$1,460,434.50 ","$1,058,650.34 ",1/1/2015,10/19/2016,Y,
"PLASKETT, STACEY ",H,DEM,INCUMBENT,VI,"$314,721.70 ",,"$265,720.92 ",,"$49,000.78 ","$264,091.04 ",1/1/2015,10/19/2016,,
"RATCLIFFE, JOHN L",H,REP,INCUMBENT,TX,"$883,765.25 ",,"$839,875.48 ","$111,774.69 ","$160,278.72 ","$724,965.37 ",1/1/2015,10/19/2016,Y,
"ROGERS, HAROLD DALLAS",H,REP,INCUMBENT,KY,"$1,214,203.18 ",,"$1,316,478.27 ","$1,128,970.92 ","$1,038,287.72 ","$430,447.30 ",1/1/2015,10/19/2016,Y,
"ROYBAL-ALLARD, LUCILLE",H,DEM,INCUMBENT,CA,"$566,920.54 ",,"$510,875.59 ","$29,056.25 ","$85,222.20 ","$338,568.62 ",1/1/2015,10/19/2016,Y,
"SABLAN, GREGORIO KILILI CAMACHO",H,IND,INCUMBENT,MP,"$46,850.00 ",,"$44,526.97 ","$69,534.07 ","$71,911.38 ","$44,526.97 ",1/1/2015,10/19/2016,,
"SCOTT, DAVID ALBERT",H,DEM,INCUMBENT,GA,"$1,193,218.16 ",,"$862,716.41 ","$52,858.09 ","$395,832.64 ","$767,753.67 ",1/1/2015,10/19/2016,Y,
"SESSIONS, PETE MR.",H,REP,INCUMBENT,TX,"$2,273,963.45 ","$1,428.45 ","$2,325,855.73 ","$670,676.43 ","$634,150.34 ","$2,115,314.38 ",1/1/2015,10/19/2016,Y,
"SEWELL, TERRYCINA ANDREA",H,DEM,INCUMBENT,AL,"$1,515,380.19 ",,"$999,826.82 ","$421,463.72 ","$940,391.85 ","$597,591.80 ",1/1/2015,10/19/2016,Y,
"SHIMKUS, JOHN M",H,REP,INCUMBENT,IL,"$3,045,120.64 ",,"$3,273,986.43 ","$1,026,835.91 ","$805,466.04 ","$2,752,128.96 ",1/1/2015,10/19/2016,Y,
"SMITH, ADRIAN",H,REP,INCUMBENT,NE,"$1,102,906.49 ",,"$720,434.34 ","$784,439.23 ","$1,176,027.85 ","$374,495.25 ",1/1/2015,10/19/2016,Y,
"THORNBERRY, MAC",H,REP,INCUMBENT,TX,"$1,750,333.74 ",,"$1,561,320.28 ","$378,439.54 ","$570,994.42 ","$775,944.90 ",1/1/2015,10/19/2016,Y,
"VISCLOSKY, PETER J.",H,DEM,INCUMBENT,IN,"$908,687.36 ",,"$833,188.79 ","$260,968.60 ","$336,490.80 ","$581,809.79 ",1/1/2015,10/19/2016,Y,
"WELCH, PETER",H,DEM,INCUMBENT,VT,"$963,378.48 ",,"$687,537.81 ","$1,689,575.27 ","$1,974,803.55 ","$337,926.20 ",1/1/2015,10/19/2016,Y,
"WESTERMAN, BRUCE MR.",H,REP,INCUMBENT,AR,"$673,721.99 ",,"$423,947.56 ","$92,201.41 ","$341,989.11 ","$358,584.29 ",1/1/2015,10/19/2016,Y,
"WILSON, FREDERICA S.",H,DEM,INCUMBENT,FL,"$448,018.14 ",,"$294,917.65 ","$250,482.11 ","$403,582.60 ","$240,038.56 ",1/1/2015,10/19/2016,Y,
"WOMACK, STEVE",H,REP,INCUMBENT,AR,"$841,949.13 ",,"$466,414.90 ","$802,234.66 ","$1,177,768.89 ","$389,614.90 ",1/1/2015,10/19/2016,Y,
"ELLMERS, RENEE JACISIN",H,REP,INCUMBENT,NC,"$1,370,294.69 ","$11,498.88 ","$1,539,709.03 ","$152,145.65 ","$3,254.35 ","$1,365,951.95 ",1/1/2015,9/30/2016,,
"CAMPBELL, FOSTER LONNNIE II",S,DEM,OPEN,LA,"$984,069.00 ",,"$1,423,943.00 ",,"$311,032.00 ","$1,150,569.00 ",1/1/2016,10/19/2016,Y,
"HARRIS, KAMALA D",S,DEM,OPEN,CA,"$13,507,231.00 ","$694,623.00 ","$12,466,740.00 ",,"$1,984,659.00 ","$12,166,878.00 ",1/1/2015,10/19/2016,Y,
"KENNEDY, JOHN NEELY",S,REP,OPEN,LA,"$2,753,041.00 ",,"$1,901,907.00 ",,"$856,011.00 ","$1,896,428.00 ",1/1/2016,10/19/2016,Y,
"MASTO, CATHERINE CORTEZ",S,DEM,OPEN,NV,"$15,224,974.74 ","$1,063,394.73 ","$13,052,302.00 ",,"$2,568,186.00 ","$30,118,804.01 ",4/8/2015,10/19/2016,Y,
"TRUMP, DONALD J. / MICHAEL R. PENCE ",P,REP,OPEN,NY,"$114,492,189.34 ","$85,958,458.29 ","$238,962,741.35 ",,"$15,994,453.57 ","$923,650,997.64 ",4/2/2015,10/19/2016,Y,
"VAN HOLLEN, CHRIS",S,DEM,OPEN,MD,"$9,646,422.00 ","$1,832,861.00 ","$9,998,137.00 ",,"$1,379,185.00 ","$9,863,844.00 ",3/4/2015,10/19/2016,Y,
"YOUNG, TODD CHRISTOPHER",S,REP,OPEN,IN,"$8,314,376.00 ","$736,074.00 ","$9,271,126.16 ","$761,714.87 ","$604,019.00 ","$8,840,725.63 ",1/1/2015,10/19/2016,Y,
"CLARK, BRITTANY",P,PPY,OPEN,CA,"$4,000.00 ",,"$17,258.00 ",,"$6,453.00 ",,1/31/2016,1/31/2017,,
"KITTINGTON, VALMA",P,REP,OPEN,AL,$205.00 ,,"$5,271.00 ",,,,7/15/2015,12/31/2016,,
"LOPEZ, ADAM",H,DEM,OPEN,IL,"$13,233.02 ",,"$13,658.02 ",,,"$11,658.02 ",4/1/2015,12/31/2016,,
"RENTAS, WANDA",H,REP,OPEN,FL,"$17,795.00 ",,"$17,795.00 ",,,"$17,795.00 ",10/9/2015,11/28/2016,,
"SUKHIA, KEN",H,REP,OPEN,FL,"$90,903.30 ",,"$206,903.30 ",,,"$206,903.30 ",1/1/2016,11/28/2016,,
"LAPHAM, ROBERT B",H,LIB,OPEN,FL,"$6,496.60 ",,"$27,396.44 ",,"($9,814.92)","$16,956.44 ",2/25/2016,11/17/2016,,
"BROWN, LIZ",H,REP,OPEN,IN,"$288,060.88 ",,"$388,226.29 ",,,"$378,420.85 ",4/1/2015,11/15/2016,,
"DEPEW, JENNIFER ROBIN",P,IND,OPEN,MI,$100.00 ,,"$5,082.04 ",,$23.98 ,$81.04 ,1/1/2016,11/14/2016,,
"SKEWES, PETER ALAN PH.D.",P,AMP,OPEN,SC,"$4,216.00 ",,"$8,216.00 ",,,,7/1/2015,11/13/2016,,
"ACHADJIAN, KHATCHIK",H,REP,OPEN,CA,"$828,927.32 ",,"$893,200.30 ",,,"$800,985.30 ",1/1/2015,11/8/2016,,
"CARSON, BENJAMIN S SR MD",P,REP,OPEN,VA,"$63,466,990.92 ",,"$64,258,231.64 ",,"$805,551.79 ","$673,695,919.39 ",1/1/2015,10/31/2016,,
"FIORINA, CARLY",P,REP,OPEN,VA,"$12,066,762.88 ",,"$11,374,024.77 ",,"$831,339.99 ","$114,767,608.05 ",4/1/2015,10/31/2016,,
"FLIPPIN, AMEER XENOS MR.",P,W,OPEN,DC,$26.86 ,,$86.02 ,$11.00 ,$3.35 ,$39.69 ,4/1/2016,10/31/2016,,
"MCCLURE, WILLIAM A MR",H,REP,OPEN,FL,"$10,010.00 ",,"$167,033.24 ",$8.91 ,$5.00 ,"$159,730.99 ",4/1/2016,10/31/2016,,
"PAUL, RAND",P,REP,OPEN,DC,"$10,276,573.37 ","$1,796,062.08 ","$12,305,398.76 ",,"$11,735.34 ","$137,439,203.68 ",4/1/2015,10/31/2016,,
"SOL-GUTIERREZ, ANA",H,DEM,OPEN,MD,"$144,894.77 ",,"$240,642.17 ",,$32.92 ,"$131,706.07 ",4/1/2015,10/31/2016,,
"SWANSON, KARIN LYNN",P,DEM,OPEN,TX,"$1,330.00 ",,"$1,335.00 ",$91.00 ,$86.00 ,"$1,267.00 ",10/16/2014,10/30/2016,,
"FOX, CHERUNDA LYNN",P,IND,OPEN,MI,"$33,241.00 ",,"$36,288.00 ",,,,5/16/2014,10/28/2016,,
"CUMMINGS, DANIEL CLYDE",H,CON,OPEN,WY,$600.00 ,,$561.00 ,"$1,129.00 ","$1,166.00 ",$561.00 ,1/1/2015,10/24/2016,,
"MANELSKI, DEVON MARCUS",P,IND,OPEN,MI,"$5,025.00 ",,"$20,330.71 ",,$997.00 ,"$6,721.98 ",6/1/2015,10/20/2016,,
"ACCAVITTI, FRANK MR. JR",H,DEM,OPEN,MI,"$30,490.82 ",,"$19,412.70 ",,"$11,078.12 ","$19,312.70 ",4/1/2016,10/19/2016,,
"ARRINGTON, JODEY COOK",H,REP,OPEN,TX,"$1,480,877.72 ",,"$1,210,670.35 ",,"$296,840.00 ","$1,156,766.27 ",10/1/2015,10/19/2016,Y,
"BABEU, PAUL RAYMOND",H,REP,OPEN,AZ,"$1,169,324.81 ","$2,663.28 ","$1,111,969.74 ",,"$63,334.62 ","$1,089,624.74 ",10/5/2015,10/19/2016,,
"BABINEC, MARTIN",H,IND,OPEN,NY,"$17,598.57 ",,"$2,466,701.19 ",,"$304,217.76 ","$2,463,270.81 ",1/1/2016,10/19/2016,,
"BAUCUM, RALPH W DR III",H,REP,OPEN,LA,"$595,013.18 ",,"$583,946.97 ",,"$111,136.77 ","$575,946.97 ",10/1/2015,10/19/2016,,
"BAYH, EVAN",S,DEM,OPEN,IN,"$2,908,549.00 ","$677,746.00 ","$10,505,377.00 ","$9,983,284.00 ","$2,950,102.00 ","$10,485,826.00 ",1/1/2015,10/19/2016,,
"BEEBE, JAMES WESLEY DR",P,IND,OPEN,CA,,,"$1,803.00 ","$5,400.00 ",,,10/26/2015,10/19/2016,,
"BERRY, JOEY",P,IND,OPEN,SC,,,,,,,7/1/2015,10/19/2016,,
"BICKELMEYER, MICHAEL",P,REP,OPEN,OH,"$3,408.00 ",,"$3,427.00 ",$21.00 ,$5.00 ,,1/1/2015,10/19/2016,,
"BILLIOT, BERYL",S,IND,OPEN,LA,"$7,300.00 ",,"$6,676.00 ",,$623.00 ,"$6,676.00 ",7/1/2016,10/19/2016,,
"BOLLING, DAN",H,DEM,OPEN,MD,"$8,305.00 ",,"$37,078.76 ",,$865.91 ,"$27,194.76 ",1/1/2016,10/19/2016,,
"BONGINO, DANIEL J",H,REP,OPEN,FL,"$431,990.75 ",,"$426,405.08 ",,"$6,184.67 ","$409,606.08 ",4/1/2016,10/19/2016,,
"BOSTOW, DIANE EVELYN",H,LIB,OPEN,MI,"$6,389.24 ",,"$5,120.65 ",$400.00 ,"$1,668.59 ","$5,120.65 ",5/1/2016,10/19/2016,,
"BOUSTANY, CHARLES W JR DR",S,REP,OPEN,LA,"$5,185,791.78 ",,"$5,163,037.69 ","$366,517.88 ","$396,148.00 ","$5,102,979.63 ",1/1/2015,10/19/2016,,
"BROWN, SHAUN DENISE",H,DEM,OPEN,VA,"$26,778.36 ",,"$29,187.47 ",,$250.00 ,"$19,266.20 ",3/1/2016,10/19/2016,,
"BRUDERLY, DAVID EDWARD",H,DEM,OPEN,FL,"$34,318.45 ",,"$35,074.30 ",,"$11,309.94 ","$35,074.30 ",6/24/2016,10/19/2016,,
"CASTLE, DARRELL LANE",P,CON,OPEN,TN,"$49,734.06 ",,"$52,721.96 ",,"$1,914.85 ","$111,400.41 ",4/1/2016,10/19/2016,,
"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",P,DEM,OPEN,NY,"$361,329,562.21 ","$141,290,000.00 ","$450,565,633.49 ",,"$62,440,979.49 ","$2,466,802,357.75 ",4/1/2015,10/19/2016,,
"COSTELLO, REGIS J",P,IND,OPEN,WA,,,"$8,106.13 ","$7,437.13 ","$7,168.13 ","$46,927.78 ",2/1/2015,10/19/2016,,
"COX, DAN",H,REP,OPEN,MD,"$45,842.00 ",,"$44,840.07 ",,"$19,059.93 ","$41,467.07 ",1/1/2016,10/19/2016,,
"CRAWFORD, DONALD L JR",S,REP,OPEN,LA,$925.00 ,,"$7,726.00 ",,"$5,698.00 ","$7,726.00 ",7/1/2016,10/19/2016,,
"CUBBLER, SCOTT RALSTON",P,NNE,OPEN,TX,"$1,072.05 ",,,$30.00 ,"$1,102.05 ",,10/1/2016,10/19/2016,,
"DARTLAND, WALTER",H,DEM,OPEN,FL,"$74,825.00 ",,"$66,239.16 ",,"$59,158.85 ","$65,666.15 ",4/1/2016,10/19/2016,,
"DE  LA  FUENTE, ROQUE ROCKY",P,DEM,OPEN,CA,"$17,033.13 ",,"$7,627,848.16 ",,"$7,160.31 ","$33,899,000.29 ",10/1/2015,10/19/2016,,
"DICIANNI, PETER",H,REP,OPEN,IL,"$296,573.56 ",,"$210,506.15 ",,"$86,067.41 ","$155,232.15 ",10/1/2015,10/19/2016,,
"DITTMAR, JANE DESIMONE",H,DEM,OPEN,VA,"$1,156,018.34 ",,"$1,072,868.50 ",,"$83,613.63 ","$1,067,752.34 ",9/3/2015,10/19/2016,,
"DOMINO, CARL J",H,REP,OPEN,FL,"$56,228.32 ",,"$579,187.94 ","$2,406.59 ","$10,744.46 ","$576,643.44 ",1/1/2015,10/19/2016,,
"DUKE, DAVID E DR",S,REP,OPEN,LA,"$118,021.00 ",,"$89,887.00 ",,"$50,444.00 ","$87,322.00 ",7/1/2016,10/19/2016,,
"EDWARDS, DERRICK",S,DEM,OPEN,LA,"$9,373.00 ",,"$19,549.00 ",,"$12,112.00 ","$19,549.00 ",2/1/2016,10/19/2016,,
"ELLISON, GREGORY W LT COL",H,REP,OPEN,LA,"$477,632.75 ",,"$427,147.36 ",,"$105,485.39 ","$418,198.48 ",12/31/2015,10/19/2016,,
"ERVIN, VALERIE",H,DEM,OPEN,MD,"$29,751.00 ",,"$29,463.62 ",,"($2,938.88)","$28,213.62 ",7/1/2015,10/19/2016,,
"FAREED, JUSTIN",H,REP,OPEN,CA,"$2,130,889.24 ",,"$1,822,868.88 ",,"$316,812.74 ","$1,788,877.53 ",1/1/2015,10/19/2016,,
"FAYARD, CATHRYN CAROLINE",S,DEM,OPEN,LA,"$693,633.00 ",,"$1,517,882.00 ",,"$67,378.00 ","$1,508,198.00 ",1/1/2016,10/19/2016,,
"FERRER RIOS, HECTOR",H,DEM,OPEN,PR,"$230,245.08 ",,"$193,786.25 ",,"$16,028.83 ","$188,786.25 ",1/1/2016,10/19/2016,,
"FLEMING, JOHN C JR",S,REP,OPEN,LA,"$1,779,304.00 ","$1,656,490.00 ","$3,781,237.00 ",,"$533,534.00 ","$3,755,473.00 ",12/1/2015,10/19/2016,,
"FLOWERS, MARGARET",S,GRE,OPEN,,"$67,573.00 ",,"$68,452.00 ",,($880.00),"$68,452.00 ",7/1/2015,10/19/2016,,
"GASKINS, SAMUEL LEWIS",H,DEM,OPEN,KY,"$13,658.02 ",,"$13,645.76 ",$260.00 ,$117.16 ,"$11,734.33 ",1/1/2015,10/19/2016,,
"GEORGE, JEFF",P,NPA,OPEN,FL,"$7,600.00 ",,"$18,751.21 ",,"($11,151.21)","$25,198.32 ",1/1/2016,10/19/2016,,
"GEYMANN, BRETT F",H,REP,OPEN,LA,"$134,085.00 ",,"$132,597.46 ",,"$1,487.54 ","$131,097.46 ",1/1/2016,10/19/2016,,
"GILMORE, JAMES S III",P,REP,OPEN,VA,"$110,570.95 ",,"$390,868.39 ",,$568.05 ,"$1,579,048.87 ",7/1/2015,10/19/2016,,
"GONZALEZ COLON, JENNIFFER",H,NPP,OPEN,PR,"$728,236.33 ",,"$608,649.95 ",,"$119,777.62 ","$607,458.71 ",7/1/2015,10/19/2016,,
"GREENE, RYAN",H,DEM,OPEN,WY,"$116,024.00 ",,"$159,025.16 ",,"$19,034.19 ","$158,025.16 ",1/1/2016,10/19/2016,,
"GUILLORY, ELBERT",H,REP,OPEN,LA,"$824,568.93 ",,"$590,272.92 ",,"$234,296.01 ","$589,272.92 ",1/20/2016,10/19/2016,,
"GUMINA, TONY DR",S,OTH,OPEN,NV,"$31,407.00 ",,"$28,047.00 ",,"$2,930.00 ","$28,474.00 ",1/1/2016,10/19/2016,,
"GURFEIN, DAVID MR.",H,REP,OPEN,NY,"$441,653.28 ",,"$325,845.50 ",,"$115,807.78 ","$315,001.98 ",7/1/2015,10/19/2016,,
"HALL, ISADORE III",H,DEM,OPEN,CA,"$1,728,599.76 ",,"$1,675,839.01 ","$67,108.63 ","$121,458.55 ","$1,653,134.19 ",1/1/2015,10/19/2016,,
"HART, JAMES",H,IND,OPEN,TN,,,$271.95 ,"$1,107.34 ","$1,336.48 ",$271.95 ,1/1/2015,10/19/2016,,
"HARTMAN, CHRISTINA MARIE MS.",H,DEM,OPEN,PA,"$820,443.51 ",,"$814,486.75 ",,"$67,784.43 ","$757,786.75 ",7/1/2015,10/19/2016,,
"HAZZARD, SHANNONN MONROE",P,REP,OPEN,VA,$635.00 ,,$635.00 ,,,,2/1/2014,10/19/2016,,
"HECK, JOE",S,REP,OPEN,NV,"$8,916,190.00 ","$2,245,511.00 ","$8,538,923.00 ",,"$2,639,193.00 ","$8,444,442.00 ",7/1/2015,10/19/2016,,
"JENKINS, OLIVER LTCOL",H,REP,OPEN,LA,"$413,839.60 ",,"$483,903.69 ",,"$329,935.91 ","$483,653.69 ",1/1/2016,10/19/2016,,
"JOHN, RICHARD MICHAEL MR.",H,REP,OPEN,LA,"$117,643.16 ",,"$118,198.03 ",,"$32,745.26 ","$108,198.03 ",1/1/2016,10/19/2016,,
"JOHNSON, GARY / WILLIAM BILL"" WELD""",P,LIB,OPEN,UT,"$10,763,296.11 ","$490,658.60 ","$10,340,004.16 ",$635.27 ,"$1,101,716.14 ","$41,603,083.83 ",1/1/2015,10/19/2016,,
"JONES JR, J MARSHALL",H,DEM,OPEN,LA,"$55,482.00 ",,"$281,049.92 ",,$582.08 ,"$257,799.92 ",7/1/2016,10/19/2016,,
"KOLLER, DAVID C",H,DEM,OPEN,FL,"$49,745.28 ",,"$50,252.33 ","$7,497.76 ","$6,990.71 ","$50,252.33 ",1/1/2015,10/19/2016,,
"LA RIVA, GLORIA ESTELA",P,PFD,OPEN,CA,"$30,269.00 ",,"$29,894.00 ",,$373.00 ,,10/24/2015,10/19/2016,,
"LEWIS JR, JULIAN BISHOP",P,IND,OPEN,TX,,,,,,,1/1/2015,10/19/2016,,
"LIEBNITZKY, WAYNE",H,REP,OPEN,FL,"$16,407.00 ",,"$26,957.55 ",,"$3,798.84 ","$26,917.95 ",7/1/2015,10/19/2016,,
"LUCIUS, CASEY",H,REP,OPEN,CA,"$395,623.35 ",,"$374,988.74 ",,"$20,680.36 ","$374,832.23 ",4/1/2015,10/19/2016,,
"MANESS, ROBERT L COL. RET",S,REP,OPEN,LA,"$698,230.00 ",,"$622,655.00 ","$21,173.00 ","$161,911.00 ","$591,039.02 ",1/1/2015,10/19/2016,,
"MARSALA, CHARLES",S,REP,OPEN,LA,"$3,915.00 ",,"$12,835.00 ",,"$1,678.00 ","$10,835.00 ",7/1/2016,10/19/2016,,
"MARTINS, JACK",H,REP,OPEN,NY,"$1,008,733.05 ","$10,075.00 ","$769,632.18 ",,"$253,935.46 ","$758,725.65 ",1/1/2016,10/19/2016,,
"MCMULLIN, EVAN / MINDY FINN",P,IND,OPEN,FL,"$1,032,757.87 ",,"$785,858.18 ",,"$249,610.86 ","$1,552,712.59 ",8/1/2016,10/19/2016,,
"MOOREHEAD, MONICA GAIL",P,UNK,OPEN,NJ,"$7,182.00 ",,"$10,943.00 ",,$737.00 ,,4/1/2016,10/19/2016,,
"MORRISSEY, JOHN FRENCH MR.",P,REP,OPEN,MA,,,,,,,12/14/2015,10/19/2016,,
"MYERS, KIM",H,DEM,OPEN,NY,"$940,550.45 ",,"$1,246,999.66 ",,"$238,202.70 ","$1,235,222.75 ",3/3/2016,10/19/2016,,
"MYHRA, PAMELA J",H,REP,OPEN,MN,"$51,650.38 ",,"$52,574.01 ",,$103.37 ,"$52,147.01 ",10/1/2015,10/19/2016,,
"NAVARRO, OMAR",H,REP,OPEN,CA,"$2,546.00 ",,"$2,667.52 ",$352.56 ,$231.04 ,"$2,667.52 ",1/1/2016,10/19/2016,,
"NEELD J, ROBERT M",H,DEM,OPEN,FL,"$2,630.00 ",,"$13,192.06 ",,"$1,937.94 ","$13,192.06 ",4/1/2016,10/19/2016,,
"NELSON, TOM",H,DEM,OPEN,WI,"$1,426,501.14 ",,"$1,329,206.27 ",,"$166,584.22 ","$1,253,136.36 ",4/1/2016,10/19/2016,,
"NGUYEN, BAO QUOC",H,DEM,OPEN,CA,"$270,569.90 ",,"$237,157.67 ",,"$37,648.14 ","$224,755.12 ",7/1/2015,10/19/2016,,
"NOGALES-MOLINELLI, MARIANA",H,PPT,OPEN,PR,"$2,154.17 ",,"$1,626.15 ",,$445.78 ,"$1,626.15 ",1/1/2016,10/19/2016,,
"OVERBY, PAULA MIRARE",H,IDP,OPEN,MN,"$2,416.00 ",,"$2,247.28 ",$332.85 ,$832.81 ,"$2,247.28 ",1/1/2015,10/19/2016,,
"PATEL, ABHAY",S,REP,OPEN,LA,"$245,266.00 ",,"$396,815.00 ",,"$7,182.00 ","$371,390.00 ",4/1/2016,10/19/2016,,
"PERKINS, RANDY",H,DEM,OPEN,FL,"$2,788,957.63 ",,"$8,327,167.32 ",,"$233,440.57 ","$8,269,787.06 ",10/1/2015,10/19/2016,,
"PHILLIPS, GEORGE KARL MR",H,REP,OPEN,NY,"$245,583.29 ","$4,950.00 ","$250,763.90 ",,($73.00),"$214,579.90 ",12/1/2015,10/19/2016,,
"PLATTER, JIM MR.",P,PBP,OPEN,MN,,,,,,,7/1/2016,10/19/2016,,
"PUSKAR, MICHAEL BRANDON",P,UN,OPEN,MD,"$1,000.00 ",,$883.10 ,,$116.90 ,$883.10 ,7/1/2016,10/19/2016,,
"RANTZ, AUGUST J IV",H,REP,OPEN,LA,"$384,540.98 ",,"$630,210.80 ",,"$7,335.18 ","$621,810.80 ",1/1/2016,10/19/2016,,
"REES, GROVER JOSEPH",H,REP,OPEN,LA,"$77,425.00 ",,"$109,360.33 ",,"$42,924.67 ","$57,864.65 ",1/1/2016,10/19/2016,,
"REIGLE, HANS",H,REP,OPEN,DE,"$200,724.32 ",,"$168,914.05 ",,"$40,262.45 ","$168,914.05 ",1/1/2015,10/19/2016,,
"ROY, JOHN CHARLES",P,UN,OPEN,PA,"$9,140.94 ",,"$9,241.75 ",$49.64 ,$19.66 ,"$42,588.66 ",1/1/2015,10/19/2016,,
"SANCHEZ, LORETTA",S,DEM,OPEN,CA,"$3,177,007.00 ","$991,114.00 ","$3,556,101.00 ",,"$921,194.00 ","$3,191,876.00 ",4/1/2015,10/19/2016,,
"SANDERS, BERNARD",P,DEM,OPEN,VT,"$231,837,226.36 ","$1,500,000.00 ","$232,031,346.88 ",,"$4,773,181.64 ","$1,954,397,343.43 ",4/1/2015,10/19/2016,,
"SANTARSIERO, STEVEN J",H,DEM,OPEN,PA,"$2,422,209.88 ",,"$2,321,465.06 ",,"$146,664.33 ","$2,268,293.52 ",1/1/2015,10/19/2016,,
"SCROGGIE, JEREMY",P,IND,OPEN,TN,$694.00 ,,"$6,683.33 ","($1,845.33)",$415.00 ,"$5,587.66 ",7/1/2015,10/19/2016,,
"SHUDOFSKY, ARYEH",H,REP,OPEN,MD,"$40,977.35 ",,"$40,925.88 ",,$51.47 ,"$40,925.88 ",7/15/2015,10/19/2016,,
"SPAIN, PAUL DOUGLAS MR.",H,REP,OPEN,FL,"$4,375.68 ",,"$21,110.96 ",$70.42 ,"$28,281.21 ","$20,810.96 ",1/1/2015,10/19/2016,,
"SPALDING, CARLA ARLENE",H,IND,OPEN,FL,"$16,907.16 ",,"$26,341.64 ",,$201.89 ,"$22,701.64 ",7/1/2015,10/19/2016,,
"SPECHT, STEVEN K.",H,DEM,OPEN,FL,"$45,880.14 ",,"$45,967.27 ",,"$9,699.00 ","$45,867.27 ",4/1/2016,10/19/2016,,
"STEIN, JILL",P,GRE,OPEN,MA,"$3,015,906.23 ",,"$3,470,291.04 ",,"$58,303.11 ","$13,450,374.82 ",1/1/2015,10/19/2016,,
"SZELIGA, KATHY",S,REP,OPEN,MD,"$1,477,206.00 ",,"$1,226,215.00 ",,"$252,998.00 ","$1,208,158.00 ",10/1/2015,10/19/2016,,
